,word,frequency,example,misspelling,correction
0,toyotda,3,TOYOTDA JIDOSHA KABUSHIKI KAISHA,YES,toyoda
1,toyodaa,1,"Toyodaa Gosei Co., Ltd.",YES,toyoda
2,toyda,1,Kabushiki Kaisha Toyda Jidoshokki Seisakusho,YES,toyoda
3,toytoa,3,Toytoa Jidosha Kabushiki Kaisha,YES,toyoda
4,toyoya,3,Toyoya Jidosha Kabushiki Kaisha,YES,toyoda
5,toyora,1,Toyora Jidosha Kabushiki Kaisha,YES,toyoda
6,toyoma,6,"Toyoma Chemical Company, Ltd.",YES,toyoda
7,toyoba,1,"Toyo Boseki Kabushiki Kaisha t/a Toyoba Co., Ltd.",YES,toyoda
8,tovoda,1,Tovoda Gosei Co.. Ltd.,YES,toyoda
9,tomoda,8,"Tomoda Giken Industry Co., Ltd.",YES,toyoda
10,toyodynam,2,Kabushiki Kaisha Toyodynam,YES,toyoda
11,toya,6,"Toya Soda Manufacturing Co., Ltd.",YES,toyoda
12,tood,1,"AK Tood Technology, Inc.",YES,toyoda
13,toda,404,Toda Kogyo Corporation,NO,toyoda
14,tyoda,2,Kabushiki Kaisha Tyoda Jidoshokki Seisakusho,YES,toyoda
15,toyad,1,Toyad Corporation,YES,toyoda
16,todyo,1,Todyo Kogyo Corporation,YES,toyoda
17,today,71,"Today's Kids, Inc.",NO,toyoda
18,toyada,3,Kabushiki Kaisha Toyada Jidoshokki Seisakusho,YES,toyoda
19,tiyoda,20,Kabushiki Kaisha Tiyoda Seisakusho,YES,toyoda
20,tayoda,1,Kabushiki Kaisha Tayoda Jidoshokki Seisakusho,YES,toyoda
0,glassy,5,GLASSY METALS LLC,NO,glass
1,glassx,2,GlassX AG,YES,glass
2,glasss,2,Corning Glasss Works,YES,glass
3,glasis,1,Glasis Holding AB,YES,glass
4,glases,1,"Sun Sight Glases Co., Ltd.",YES,glass
5,gass,2,"Gass Industries, Inc.",YES,glass
6,galss,1,"Nippon Electric Galss Co., Ltd.",YES,glass
7,gulassa,2,Gulassa & Company,YES,glass
8,glassup,2,GLASSUP S.R.L.,YES,glass
9,glasson,1,GLASSON INVESTMENTS PTY LTD,YES,glass
10,glasses,55,"Sun Sight Glasses Co., Ltd.",NO,glass
11,glassco,1,"Glassco, Inc.",YES,glass
12,glasstek,10,"Morrill Glasstek, Inc.",YES,glass
13,glassman,2,"Glassman Medical Products, Inc.",YES,glass
14,glasslab,1,Berkeley Glasslab,YES,glass
15,glasseal,1,Glasseal Products,YES,glass
16,glassbox,2,GLASSBOX LTD,YES,glass
17,glassafe,3,"Glassafe, Inc.",YES,glass
18,glashaus,1,Glashaus Incorporated,YES,glass
19,grass,432,Alfred Grass Ges.m.b.H. Metallwarenfabrik,NO,glass
20,gls,11,G.L.S. Partnership,UNK,glass
21,gliss,10,Silent Gliss International AG,YES,glass
22,glaus,2,"Glaus, Pyle, Schomer, Burns & DeHaven, Inc.",YES,glass
23,gauss,29,"Gauss Surgical, Inc.",YES,glass
24,gases,136,Union Carbide Industrial Gases Technology Corporation,NO,glass
25,gals,3,GALS SHOPPER LLC,NO,glass
0,hallliburton,3,"Hallliburton Energy Services, Inc.",YES,halliburton
1,hallilburton,1,Hallilburton Energy Services Inc.,YES,halliburton
2,halliburtonn,1,"Halliburtonn Energy Services, Inc.",YES,halliburton
3,halliburtion,1,"Halliburtion Energy Services, Inc.",YES,halliburton
4,halliburtgon,1,"Halliburtgon Energy Services, Inc.",YES,halliburton
5,hallibburton,1,"Hallibburton Energy Services, Inc.",YES,halliburton
6,halliubrton,1,"Halliubrton Energy Services, Inc.",YES,halliburton
7,hallibuton,1,"Hallibuton Energy Services, Inc.",YES,halliburton
8,halliburtn,2,"Halliburtn Energy Services, Inc.",YES,halliburton
9,halliburotn,2,"Halliburotn Energy Services, Inc.",YES,halliburton
10,hallburton,5,"Hallburton Energy Services, Inc.",YES,halliburton
11,haliburton,19,Haliburton Company,YES,halliburton
12,halliuburton,1,"Halliuburton Energy Services, Inc.",YES,halliburton
13,hallitburton,1,"Hallitburton Energy Services, Inc.",YES,halliburton
14,hilliburton,4,"Hilliburton Energy Services, Inc.",YES,halliburton
15,halluburton,2,Halluburton Company,YES,halliburton
16,hallibunon,5,"Hallibunon Energy Services, Inc.",YES,halliburton
0,unsion,1,Unsion Industries,YES,union
1,unison,120,Unison Industries Limited Partnership,NO,union
2,unions,1,Payment Systems for Credit Unions Inc.,NO,union
3,unicon,12,Unicon Beton Holding A/S,YES,union
4,uion,2,"Uion Co., Ltd",YES,union
5,unitron,31,"Unitron, L.P.",YES,union
6,unitone,1,Unitone,YES,union
7,unisson,2,Les Enceintes Acoustiques Unisson Inc.,YES,union
8,unisone,1,Unisone Corporation,YES,union
9,uniscon,4,Uniscon Universal Identity Control GmbH,YES,union
10,unipont,1,"UniPont Holdings, Inc.",YES,union
11,unicorn,74,"Unicorn Therapeutics, LLC",NO,union
12,uniconn,2,Uniconn Corp.,YES,union
13,unibond,1,Unibond Technology Corp.,YES,union
14,univonix,1,UNIVONIX LTD.,YES,union
15,unipoint,18,"UniPoint Holdings, Inc.",YES,union
16,uniphone,1,UNIPHONE SOFTWARE SYSTEMS,YES,union
17,unionpay,47,"CHINA UNIONPAY CO., LTD.",YES,union
18,unictron,10,Unictron Technologies Corporation,YES,union
19,unwin,5,Unwin Electronics Ltd.,YES,union
20,uno,33,UNO A Erre Italia S.p.A,NO,union
21,unlin,1,Unlin Beheer B.V.,YES,union
22,unito,1,Unito Oy,YES,union
23,unisn,1,Unisn Incorporated,YES,union
24,uniox,1,Uniox SRL Welding & Cutting,YES,union
25,unior,2,UNIOR kovaska industrija Zrece n.sol.o,YES,union
26,unind,2,"UNIND (SHENZHEN) CO., LIMITED",YES,union
27,unico,408,SNAP-ON EQUIPMENT SRL A UNICO SOCIO,NO,union
28,unibo,1,UNIBO A/S,YES,union
29,uniao,16,Uniao Brasileira de Vidros s/a Industria e Comercio,YES,union
30,uni,1453,Uni-Charm Corporation,NO,union
31,ufion,1,Ufion (Pty) Limited,YES,union
0,generyal,1,"Generyal Dynamics Information Systems, Inc.",YES,general
1,genernal,1,Genernal Motors Corporation,YES,general
2,genereal,4,Director Genereal of Agency of Industrial Science & Technology,YES,general
3,generals,4,Generals Motors Corporation,NO,general
4,generali,4,CO.GE.IT. S.R.L. - Costruzioni Generali Italiane,YES,general
5,generald,2,"Essilor International, Cie Generald d'Optique",YES,general
6,generalc,1,Compagnie Generalc des Matieres Nucleaires,YES,general
7,generaal,26,"De Staat der Nederlanden, te Dezen Vertegenwoordigd Door de Directeur-Generaal der Posterijen, Telegrafie en Telefonie",YES,general
8,genberal,1,Genberal Motors Corporation,YES,general
9,genreal,2,System Genreal Corp.,YES,general
10,genral,13,Genral Electric Company,YES,general
11,generla,3,Generla Electric Company,YES,general
12,generl,1,Generl Electric Company,YES,general
13,genera,23,GENERA BIOSYSTEMS LIMITED,NO,general
14,genearl,1,Genearl Electric Company,YES,general
15,geneal,6,Geneal Electric Company,YES,general
